UF,Consumo,Mes,Ano
Rondônia,96935.0,JAN,2010.0
Acre,33302.0,JAN,2010.0
Amazonas,158494.0,JAN,2010.0
Roraima,33357.0,JAN,2010.0
Pará,228022.0,JAN,2010.0
Amapá,46517.0,JAN,2010.0
Tocantins,55200.0,JAN,2010.0
Maranhão,232690.0,JAN,2010.0
Piauí,119333.0,JAN,2010.0
Ceará,341566.0,JAN,2010.0
Rio Grande do Norte,164038.0,JAN,2010.0
Paraíba,156209.0,JAN,2010.0
Pernambuco,420180.0,JAN,2010.0
Alagoas,115771.0,JAN,2010.0
Sergipe,93910.0,JAN,2010.0
Bahia,578715.0,JAN,2010.0
Minas Gerais,931360.0,JAN,2010.0
Espírito Santo,214516.0,JAN,2010.0
Rio de Janeiro,1383474.0,JAN,2010.0
São Paulo,3461696.0,JAN,2010.0
Paraná,648093.0,JAN,2010.0
Santa Catarina,532241.0,JAN,2010.0
Rio Grande do Sul,831825.0,JAN,2010.0
Mato Grosso do Sul,158760.0,JAN,2010.0
Mato Grosso,182181.0,JAN,2010.0
Goiás,360828.0,JAN,2010.0
Distrito Federal,219106.0,JAN,2010.0
Rondônia,87652.0,FEV,2010.0
Acre,33371.0,FEV,2010.0
Amazonas,151437.0,FEV,2010.0
Roraima,31556.0,FEV,2010.0
Pará,246922.0,FEV,2010.0
Amapá,38175.0,FEV,2010.0
Tocantins,50991.0,FEV,2010.0
Maranhão,215731.0,FEV,2010.0
Piauí,108865.0,FEV,2010.0
Ceará,338849.0,FEV,2010.0
Rio Grande do Norte,158793.0,FEV,2010.0
Paraíba,152500.0,FEV,2010.0
Pernambuco,382080.0,FEV,2010.0
Alagoas,112212.0,FEV,2010.0
Sergipe,93621.0,FEV,2010.0
Bahia,553326.0,FEV,2010.0
Minas Gerais,934169.0,FEV,2010.0
Espírito Santo,224318.0,FEV,2010.0
Rio de Janeiro,1427481.0,FEV,2010.0
São Paulo,3496627.0,FEV,2010.0
Paraná,689088.0,FEV,2010.0
Santa Catarina,585559.0,FEV,2010.0
Rio Grande do Sul,891398.0,FEV,2010.0
Mato Grosso do Sul,154638.0,FEV,2010.0
Mato Grosso,177852.0,FEV,2010.0
Goiás,360722.0,FEV,2010.0
Distrito Federal,180925.0,FEV,2010.0
Rondônia,91181.0,MAR,2010.0
Acre,33205.0,MAR,2010.0
Amazonas,150863.0,MAR,2010.0
Roraima,33852.0,MAR,2010.0
Pará,262120.0,MAR,2010.0
Amapá,38702.0,MAR,2010.0
Tocantins,55783.0,MAR,2010.0
Maranhão,214148.0,MAR,2010.0
Piauí,109819.0,MAR,2010.0
Ceará,332997.0,MAR,2010.0
Rio Grande do Norte,167802.0,MAR,2010.0
Paraíba,148289.0,MAR,2010.0
Pernambuco,418409.0,MAR,2010.0
Alagoas,109472.0,MAR,2010.0
Sergipe,89624.0,MAR,2010.0
Bahia,561657.0,MAR,2010.0
Minas Gerais,880049.0,MAR,2010.0
Espírito Santo,216308.0,MAR,2010.0
Rio de Janeiro,1371624.0,MAR,2010.0
São Paulo,3315447.0,MAR,2010.0
Paraná,613111.0,MAR,2010.0
Santa Catarina,471378.0,MAR,2010.0
Rio Grande do Sul,726416.0,MAR,2010.0
Mato Grosso do Sul,150228.0,MAR,2010.0
Mato Grosso,187567.0,MAR,2010.0
Goiás,348313.0,MAR,2010.0
Distrito Federal,190137.0,MAR,2010.0
Rondônia,93553.0,ABR,2010.0
Acre,32501.0,ABR,2010.0
Amazonas,147437.0,ABR,2010.0
Roraima,33127.0,ABR,2010.0
Pará,244895.0,ABR,2010.0
Amapá,41178.0,ABR,2010.0
Tocantins,57287.0,ABR,2010.0
Maranhão,212147.0,ABR,2010.0
Piauí,106492.0,ABR,2010.0
Ceará,322472.0,ABR,2010.0
Rio Grande do Norte,161737.0,ABR,2010.0
Paraíba,145010.0,ABR,2010.0
Pernambuco,410291.0,ABR,2010.0
Alagoas,112103.0,ABR,2010.0
Sergipe,90678.0,ABR,2010.0
Bahia,566467.0,ABR,2010.0
Minas Gerais,852883.0,ABR,2010.0
Espírito Santo,206052.0,ABR,2010.0
Rio de Janeiro,1192676.0,ABR,2010.0
São Paulo,3225417.0,ABR,2010.0
Paraná,582010.0,ABR,2010.0
